"","region","lon","lat"
"165","Mozambique",35.529562,-18.665695
"166","Syria",38.996815,34.802075
"167","Timor-Leste",125.727539,-8.874217
"168","Belize",-88.49765,17.189877
"169","Laos",102.495496,19.85627
"170","Libya",17.228331,26.3351
"171","West Bank and Gaza",35.3027226,31.9465703
"172","Guinea-Bissau",-15.180413,11.803749
"173","Mali",-3.996166,17.570692
"174","Saint Kitts and Nevis",-62.782998,17.357822
"175","Kosovo",20.902977,42.6026359
"176","Burma",95.955974,21.916221
"177","MS Zaandam",NA,NA
